PassengerId,Fare,Survived
892,7.8292,0
893,7,1
894,9.6875,0
895,8.6625,0
896,12.2875,1
897,9.225,0
898,7.6292,1
899,29,0
900,7.2292,1
901,24.15,0
902,7.8958,0
903,26,0
904,82.2667,1
905,26,0
906,61.175,1
907,27.7208,1
908,12.35,0
909,7.225,0
910,7.925,1
911,7.225,1
912,59.4,0
913,3.1708,0
914,31.6833,1
915,61.3792,0
916,262.375,1
917,14.5,0
918,61.9792,1
919,7.225,0
920,30.5,0
921,21.6792,0
922,26,0
923,31.5,0
924,20.575,1
925,23.45,1
926,57.75,0
927,7.2292,0
928,8.05,1
929,8.6625,1
930,9.5,0
931,56.4958,0
932,13.4167,0
933,26.55,0
934,7.85,0
935,13,1
936,52.5542,1
937,7.925,0
938,29.7,0
939,7.75,0
940,76.2917,1
941,15.9,1
942,60,0
943,15.0333,0
944,23,1
945,263,1
946,15.5792,0
947,29.125,0
948,7.8958,0
949,7.65,0
950,16.1,0
951,262.375,1
952,7.8958,0
953,13.5,0
954,7.75,0
955,7.725,1
956,262.375,0
957,21,1
958,7.8792,1
959,42.4,0
960,28.5375,0
961,263,1
962,7.75,1
963,7.8958,0
964,7.925,1
965,27.7208,0
966,211.5,1
967,211.5,0
968,8.05,0
969,25.7,1
970,13,0
971,7.75,1
972,15.2458,0
973,221.7792,0
974,26,0
975,7.8958,0
976,10.7083,0
977,14.4542,0
978,7.8792,1
979,8.05,1
980,7.75,1
981,23,0
982,13.9,1
983,7.775,0
984,52,1
985,8.05,0
986,26,0
987,7.7958,0
988,78.85,1
989,7.925,0
990,7.8542,1
991,8.05,0
992,55.4417,1
993,26,0
994,7.75,0
995,7.775,0
996,8.5167,1
997,22.525,0
998,7.8208,0
999,7.75,0
1000,8.7125,0
1001,13,0
1002,15.0458,0
1003,7.7792,1
1004,31.6792,1
1005,7.2833,1
1006,221.7792,1
1007,14.4542,0
1008,6.4375,0
1009,16.7,1
1010,75.2417,0
1011,26,1
1012,15.75,1
1013,7.75,0
1014,57.75,1
1015,7.25,0
1016,7.75,0
1017,16.1,1
1018,7.7958,0
1019,23.25,1
1020,13,0
1021,8.05,0
1022,8.05,0
1023,28.5,0
1024,25.4667,1
1025,6.4375,0
1026,7.8958,0
1027,7.8542,0
1028,7.225,0
1029,13,0
1030,8.05,1
1031,46.9,0
1032,46.9,1
1033,151.55,1
1034,262.375,0
1035,26,0
1036,26.55,0
1037,18,0
1038,51.8625,0
1039,8.05,0
1040,26.55,0
1041,26,0
1042,83.1583,1
1043,7.8958,0
1044,,0
1045,12.1833,1
1046,31.3875,0
1047,7.55,0
1048,221.7792,1
1049,7.8542,1
1050,26.55,0
1051,13.775,1
1052,7.7333,1
1053,15.2458,0
1054,13.5,1
1055,7,0
1056,13,0
1057,22.025,1
1058,50.4958,0
1059,34.375,0
1060,27.7208,1
1061,8.9625,1
1062,7.55,0
1063,7.225,0
1064,13.9,0
1065,7.2292,0
1066,31.3875,0
1067,39,1
1068,36.75,1
1069,55.4417,0
1070,39,1
1071,83.1583,1
1072,13,0
1073,83.1583,0
1074,53.1,1
1075,7.75,0
1076,247.5208,1
1077,16,0
1078,21,1
1079,8.05,0
1080,69.55,1
1081,13,0
1082,26,0
1083,26,0
1084,14.5,0
1085,12.35,0
1086,32.5,0
1087,7.8542,0
1088,134.5,0
1089,7.775,1
1090,10.5,0
1091,8.1125,1
1092,15.5,1
1093,14.4,0
1094,227.525,0
1095,26,1
1096,10.5,0
1097,25.7417,0
1098,7.75,1
1099,10.5,0
1100,27.7208,1
1101,7.8958,0
1102,22.525,0
1103,7.05,0
1104,73.5,0
1105,26,1
1106,7.775,1
1107,42.5,0
1108,7.8792,1
1109,164.8667,0
1110,211.5,1
1111,8.05,0
1112,13.8583,1
1113,8.05,0
1114,10.5,1
1115,7.7958,0
1116,27.4458,1
1117,15.2458,1
1118,7.7958,0
1119,7.75,1
1120,15.1,0
1121,13,0
1122,65,0
1123,26.55,1
1124,6.4958,0
1125,7.8792,0
1126,71.2833,0
1127,7.8542,0
1128,75.25,0
1129,7.225,0
1130,13,1
1131,106.425,1
1132,27.7208,1
1133,30,1
1134,134.5,0
1135,7.8875,0
1136,23.45,0
1137,51.8625,0
1138,21,1
1139,32.5,0
1140,26,1
1141,14.4542,1
